# ArrowInput TSV dictionary
# UTF-8 TSV: code	text	comment	weight	user_weight
nie	㖖	nie		
yin	㖗	yin		
zhen	㖘	zhen		
wai	㖞	wai		
shou	㖟	shou		
na	㖠	na		
ne	㖠	ne		
nei	㖠	nei		
ye	㖡	ye		
qi	㖢	qi		
tou	㖣	tou		
han	㖤	han		
jun	㖥	jun		
dong	㖦	dong		
hun	㖧	hun		
wen	㖧	wen		
lu	㖨	lu		
ju	㖩	ju		
sou	㖩	sou		
guo	㖪	guo		
huo	㖪	huo		
xu	㖪	xu		
ling	㖫	ling		
tian	㖭	tian		
lun	㖮	lun		
ge	㖵	ge		
yan	㖶	yan		
ye	㖶	ye		
yin	㖶	yin		
shi	㖷	shi		
ti	㖷	ti		
ju	㖸	ju		
jue	㖸	jue		
xue	㖸	xue		
pen	㖹	pen		
chun	㖺	chun		
niu	㖻	niu		
rou	㖻	rou		
duo	㖼	duo		
ze	㖽	ze		
e	㖾	e		
ye	㖿	ye		
you	㗀	you		
e	㗁	e		
sheng	㗂	sheng		
hun	㗃	hun		
wen	㗃	wen		
ku	㗄	ku		
hu	㗅	hu		
ge	㗆	ge		
xia	㗇	xia		
man	㗈	man		
e	㗉	e		
lve	㗉	lve		
ji	㗊	ji		
hou	㗋	hou		
zhi	㗌	zhi		
jia	㗎	jia		
wai	㗏	wai		
bai	㗑	bai		
ai	㗒	ai		
zhui	㗓	zhui		
qian	㗔	qian		
gou	㗕	gou		
dan	㗖	dan		
bei	㗗	bei		
bo	㗘	bo		
chu	㗙	chu		
na	㗙	na		
zhou	㗙	zhou		
li	㗚	li		
xiao	㗛	xiao		
xiu	㗜	xiu		
dong	㗢	dong		
hong	㗢	hong		
ti	㗣	ti		
cu	㗤	cu		
guo	㗥	guo		
kuo	㗥	kuo		
lao	㗦	lao		
die	㗧	die		
zhi	㗧	zhi		
ai	㗨	ai		
xie	㗨	xie		
xi	㗩	xi		
qie	㗫	qie		
zha	㗬	zha		
xi	㗭	xi		
